
Element
1
NFPint
2
IP_xi IP_eta IP_zeta IP_w IP_a0X IP_a0Y IP_a0Z IP_L0 IP_A0
0.000000000000000 0.000000000000000 0.577350269189626 1.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 2.000000E-02 3.141500E-06
0.000000000000000 0.000000000000000 -0.577350269189626 1.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 2.000000E-02 3.141500E-06
